id;id_audit;id_edition;date;badge;action
1;7344;28308;2020-03-25T12:18:14;XSS;BROUILLON
2;8939;79994;2020-03-25T07:27:57;Moroccan Dirham Synchronised B2B;VISUALISATION
3;53612;58486;2020-03-24T18:16:30;Borders motivating Customer;SUPPRESSION
4;24107;4479;2020-03-25T07:51:37;Chief Home Loan Account reinvent;VISUALISATION
5;5720;24934;2020-03-24T18:55:25;hack overriding bandwidth;EDITION
6;19479;71316;2020-03-25T10:40:41;Borders Designer;BROUILLON
7;337;2108;2020-03-24T21:36:37;syndicate aggregate;BROUILLON
8;20661;50895;2020-03-24T16:17:26;Planner projection bus;VISUALISATION
9;32029;34522;2020-03-25T08:32:37;indexing;SUPPRESSION
10;3594;77613;2020-03-24T23:06:55;Analyst Manor;SUPPRESSION
