id;id_edition;libelle;modele;famille;version
1;Marketing Guyana Dollar best-of-breed;sky blue;Practical;Functionality New Taiwan Dollar;initiatives Ergonomic Djibouti Franc
2;program;time-frame;Nepal;Syrian Pound;cyan solution
3;Outdoors Cambridgeshire;Gloves ivory orange;Sausages override USB;Kids Automotive;Borders blue
4;Berkshire;withdrawal;users technologies;payment Avon Bedfordshire;invoice Key Investment Account
5;generate;Belgium;National;haptic Mouse Multi-layered;Intelligent Key Manors
6;Awesome Fresh Bike Kyrgyz Republic;3rd generation;Fantastic Frozen Chicken Incredible Fresh Fish transform;Credit Card Account functionalities;Global
7;Spain internet solution;deposit SSL;clicks-and-mortar;Dalasi Sleek Granite Chicken;Profound HDD Intelligent Soft Salad
8;B2B Intelligent Rubber Chicken archive;compressing capacity;indexing Director deliver;explicit Generic;Berkshire compress Small Granite Soap
9;Islands Unbranded;Saint Helena Metrics web services;invoice capacitor Product;Administrator moratorium infrastructure;Operations
10;ubiquitous;matrix;multi-byte Innovative;Uganda Shilling;card Toys Credit Card Account
