id;id_tech;societe;num_sous;num_grc
1;44130;neural Kansas;upward-trending Optimization foreground;Personal Loan Account
2;6329;Vermont;Home Loan Account Shoes Director;platforms Gourde US Dollar
3;34844;Planner;B2B overriding;THX Avon Grocery
4;3508;Intelligent;Frozen;Coordinator
5;90453;open-source primary Tuna;Alaska gold;Switzerland Ireland Director
6;94507;synergistic;microchip withdrawal;Legacy Personal Loan Account
7;3671;protocol cross-media secondary;Saint Martin;CSS
8;60416;program Specialist Customer;digital;Handmade
9;4867;Avenue calculating Licensed Frozen Tuna;Home;program Avon
10;84637;AGP Security;Cambridgeshire;Car Metal
