id;id_tech;societe;num_contrat_lgbt;num_sous
1;71825;transition Money Market Account Gourde US Dollar;Mission;Nebraska SCSI backing up
2;52864;cohesive;Group;neural
3;19686;Light;Beauty;mindshare TCP
4;54357;Checking Account Web backing up;Games Metal e-markets;Central Facilitator
5;22225;concept framework Robust;copying Chief;haptic Producer
6;27772;Buckinghamshire grey mesh;Flats;Paradigm 5th generation HDD
7;14154;extend Quality PCI;lime override;Checking Account
8;39564;dot-com Computers;Sports parse;embrace redundant
9;42727;Borders;Outdoors;Handmade methodical responsive
10;43496;Pizza orange Savings Account;Lead withdrawal;Awesome Fresh Soap payment Assistant
