id;id_tech;societe;num_sous
1;17143;Home Loan Account;Designer SDD Refined
2;4294;purple International Dynamic;Towels invoice
3;47481;Generic Plastic Towels Security Incredible;Rand Loti
4;64557;lime Rhode Island Mobility;Global Plains recontextualize
5;41991;Architect;Iowa
6;53278;Car Proactive;unleash Internal
7;38023;generating parsing;solid state target Fresh
8;15775;Architect withdrawal AGP;SMTP Handcrafted Plastic Shoes Refined
9;42383;copy Buckinghamshire Polarised;online Strategist mission-critical
10;66179;Product;SDD Auto Loan Account
