id;id_tech;societe;num_sinistre;num_contrat_lgbt;num_sous
1;48891;Fantastic synthesizing;Berkshire;Plains;salmon Investor
2;89746;invoice;Response Wall;orchid array;Liaison hacking
3;47648;Chad;motivating;mint green SQL;Managed SSL Shoals
4;57665;Savings Account invoice;Stream;models Grass-roots;systemic
5;57344;European Monetary Unit (E.M.U.-6) Planner;calculate Highway invoice;Swaziland Isle;Licensed Rubber Cheese
6;41215;yellow digital;experiences New Hampshire e-commerce;yellow impactful connecting;seize Intelligent Steel Pants
7;77482;engage;solutions Mountains;Fantastic navigate;National Gloves Rustic Soft Tuna
8;65596;bypass Buckinghamshire;Towels;Locks port;South Africa Representative Awesome Cotton Gloves
9;46637;web services quantify mobile;Kids;reboot protocol interface;Awesome Uganda
10;36962;Steel ROI online;Grocery Sleek networks;Cape Verde Supervisor;deposit
