id;id_tech;num_sous;num_contrat_vie
1;49650;auxiliary;experiences Handmade Unbranded
2;56690;Intelligent Persevering Forest;Frozen Personal Loan Account
3;13384;Underpass;Cameroon Personal Loan Account Buckinghamshire
4;15512;channels;Bacon Awesome Fresh Fish
5;49581;groupware protocol;SAS
6;59490;Lodge Analyst;Greece capacitor Jordan
7;82886;Infrastructure quantify Jewelery;Fish
8;92354;portal Ergonomic;sensor
9;16480;Representative Refined Cotton Chips yellow;Ergonomic Frozen Ball payment
10;97141;Highway compressing;Turks and Caicos Islands Serbia Jordan
